Census,School Name,Category,Year Level,Students
19 February 2020,Ainslie School,Gov,Year 2,59
02 August 2019,Ainslie School,Gov,Year 2,53
20 February 2019,Ainslie School,Gov,Year 2,51
03 August 2018,Ainslie School,Gov,Year 2,49
21 February 2018,Ainslie School,Gov,Year 2,49
04 August 2017,Ainslie School,Gov,Year 2,47
15 February 2017,Ainslie School,Gov,Year 2,51
05 August 2016,Ainslie School,Gov,Year 2,41
17 February 2016,Ainslie School,Gov,Year 2,44
07 August 2015,Ainslie School,Gov,Year 2,60
18 February 2015,Ainslie School,Gov,Year 2,57
01 August 2014,Ainslie School,Gov,Year 2,50
19 February 2014,Ainslie School,Gov,Year 2,47
01 August 2013,Ainslie School,Gov,Year 2,49
01 February 2013,Ainslie School,Gov,Year 2,48
01 August 2012,Ainslie School,Gov,Year 2,59
01 February 2012,Ainslie School,Gov,Year 2,58
01 August 2011,Ainslie School,Gov,Year 2,51
01 February 2011,Ainslie School,Gov,Year 2,50
01 August 2010,Ainslie School,Gov,Year 2,42
01 February 2010,Ainslie School,Gov,Year 2,43
01 August 2009,Ainslie School,Gov,Year 2,65
01 February 2009,Ainslie School,Gov,Year 2,65
10 February 2023,Ainslie School,Gov,Year 3,52
05 August 2022,Ainslie School,Gov,Year 3,66
18 February 2022,Ainslie School,Gov,Year 3,66
06 August 2021,Ainslie School,Gov,Year 3,62
19 February 2021,Ainslie School,Gov,Year 3,63
07 August 2020,Ainslie School,Gov,Year 3,50
19 February 2020,Ainslie School,Gov,Year 3,52
02 August 2019,Ainslie School,Gov,Year 3,45
20 February 2019,Ainslie School,Gov,Year 3,43
03 August 2018,Ainslie School,Gov,Year 3,48
21 February 2018,Ainslie School,Gov,Year 3,45
04 August 2017,Ainslie School,Gov,Year 3,42
15 February 2017,Ainslie School,Gov,Year 3,39
05 August 2016,Ainslie School,Gov,Year 3,62
17 February 2016,Ainslie School,Gov,Year 3,63
07 August 2015,Ainslie School,Gov,Year 3,50
18 February 2015,Ainslie School,Gov,Year 3,47
01 August 2014,Ainslie School,Gov,Year 3,50
19 February 2014,Ainslie School,Gov,Year 3,49
01 August 2013,Ainslie School,Gov,Year 3,57
01 February 2013,Ainslie School,Gov,Year 3,59
01 August 2012,Ainslie School,Gov,Year 3,53
01 February 2012,Ainslie School,Gov,Year 3,54
01 August 2011,Ainslie School,Gov,Year 3,48
01 February 2011,Ainslie School,Gov,Year 3,47
01 August 2010,Ainslie School,Gov,Year 3,68
01 February 2010,Ainslie School,Gov,Year 3,67
01 August 2009,Ainslie School,Gov,Year 3,64
01 February 2009,Ainslie School,Gov,Year 3,64
10 February 2023,Ainslie School,Gov,Year 4,65
05 August 2022,Ainslie School,Gov,Year 4,64
18 February 2022,Ainslie School,Gov,Year 4,64
06 August 2021,Ainslie School,Gov,Year 4,48
19 February 2021,Ainslie School,Gov,Year 4,44
07 August 2020,Ainslie School,Gov,Year 4,45
19 February 2020,Ainslie School,Gov,Year 4,46
02 August 2019,Ainslie School,Gov,Year 4,45
20 February 2019,Ainslie School,Gov,Year 4,44
03 August 2018,Ainslie School,Gov,Year 4,41
21 February 2018,Ainslie School,Gov,Year 4,42
04 August 2017,Ainslie School,Gov,Year 4,58
15 February 2017,Ainslie School,Gov,Year 4,62
05 August 2016,Ainslie School,Gov,Year 4,56
17 February 2016,Ainslie School,Gov,Year 4,54
07 August 2015,Ainslie School,Gov,Year 4,49
18 February 2015,Ainslie School,Gov,Year 4,50
01 August 2014,Ainslie School,Gov,Year 4,56
19 February 2014,Ainslie School,Gov,Year 4,56
01 August 2013,Ainslie School,Gov,Year 4,51
01 February 2013,Ainslie School,Gov,Year 4,50
01 August 2012,Ainslie School,Gov,Year 4,46
01 February 2012,Ainslie School,Gov,Year 4,51
01 August 2011,Ainslie School,Gov,Year 4,64
01 February 2011,Ainslie School,Gov,Year 4,66
01 August 2010,Ainslie School,Gov,Year 4,59
01 February 2010,Ainslie School,Gov,Year 4,61
01 August 2009,Ainslie School,Gov,Year 4,58
01 February 2009,Ainslie School,Gov,Year 4,57
10 February 2023,Ainslie School,Gov,Year 5,59
05 August 2022,Ainslie School,Gov,Year 5,43
18 February 2022,Ainslie School,Gov,Year 5,45
06 August 2021,Ainslie School,Gov,Year 5,46
19 February 2021,Ainslie School,Gov,Year 5,46
07 August 2020,Ainslie School,Gov,Year 5,46
19 February 2020,Ainslie School,Gov,Year 5,44
02 August 2019,Ainslie School,Gov,Year 5,41
20 February 2019,Ainslie School,Gov,Year 5,40
03 August 2018,Ainslie School,Gov,Year 5,63
21 February 2018,Ainslie School,Gov,Year 5,60
04 August 2017,Ainslie School,Gov,Year 5,57
15 February 2017,Ainslie School,Gov,Year 5,53
05 August 2016,Ainslie School,Gov,Year 5,46
17 February 2016,Ainslie School,Gov,Year 5,49
07 August 2015,Ainslie School,Gov,Year 5,56
18 February 2015,Ainslie School,Gov,Year 5,57
01 August 2014,Ainslie School,Gov,Year 5,51
19 February 2014,Ainslie School,Gov,Year 5,47
01 August 2013,Ainslie School,Gov,Year 5,47
01 February 2013,Ainslie School,Gov,Year 5,44
01 August 2012,Ainslie School,Gov,Year 5,67
01 February 2012,Ainslie School,Gov,Year 5,65
01 August 2011,Ainslie School,Gov,Year 5,62
01 February 2011,Ainslie School,Gov,Year 5,61
01 August 2010,Ainslie School,Gov,Year 5,61
01 February 2010,Ainslie School,Gov,Year 5,62
01 August 2009,Ainslie School,Gov,Year 5,48
01 February 2009,Ainslie School,Gov,Year 5,47
10 February 2023,Ainslie School,Gov,Year 6,46
05 August 2022,Ainslie School,Gov,year 6,48
18 February 2022,Ainslie School,Gov,year 6,48
06 August 2021,Ainslie School,Gov,Year 6,52
19 February 2021,Ainslie School,Gov,year 6,49
07 August 2020,Ainslie School,Gov,year 6,42
19 February 2020,Ainslie School,Gov,year 6,42
02 August 2019,Ainslie School,Gov,Year 6,62
20 February 2019,Ainslie School,Gov,Year 6,62
03 August 2018,Ainslie School,Gov,Year 6,60
21 February 2018,Ainslie School,Gov,Year 6,58
04 August 2017,Ainslie School,Gov,Year 6,50
15 February 2017,Ainslie School,Gov,Year 6,48
05 August 2016,Ainslie School,Gov,Year 6,64
17 February 2016,Ainslie School,Gov,Year 6,58
07 August 2015,Ainslie School,Gov,Year 6,55
18 February 2015,Ainslie School,Gov,Year 6,55
01 August 2014,Ainslie School,Gov,Year 6,45
19 February 2014,Ainslie School,Gov,Year 6,45
01 August 2013,Ainslie School,Gov,Year 6,66
01 February 2013,Ainslie School,Gov,Year 6,67
01 August 2012,Ainslie School,Gov,Year 6,55
01 February 2012,Ainslie School,Gov,Year 6,55
01 August 2011,Ainslie School,Gov,Year 6,60
01 February 2011,Ainslie School,Gov,Year 6,63
01 August 2010,Ainslie School,Gov,Year 6,49
01 February 2010,Ainslie School,Gov,Year 6,51
01 August 2009,Ainslie School,Gov,Year 6,43
01 February 2009,Ainslie School,Gov,Year 6,46
10 February 2023,Alfred Deakin High School,Gov,Year 10,211
05 August 2022,Alfred Deakin High School,Gov,Year 10,215
18 February 2022,Alfred Deakin High School,Gov,Year 10,213
06 August 2021,Alfred Deakin High School,Gov,Year 10,212
19 February 2021,Alfred Deakin High School,Gov,Year 10,210
07 August 2020,Alfred Deakin High School,Gov,Year 10,232
19 February 2020,Alfred Deakin High School,Gov,Year 10,235
02 August 2019,Alfred Deakin High School,Gov,Year 10,220
20 February 2019,Alfred Deakin High School,Gov,Year 10,220
03 August 2018,Alfred Deakin High School,Gov,Year 10,229
21 February 2018,Alfred Deakin High School,Gov,Year 10,219
04 August 2017,Alfred Deakin High School,Gov,Year 10,219
15 February 2017,Alfred Deakin High School,Gov,Year 10,213
05 August 2016,Alfred Deakin High School,Gov,Year 10,213
17 February 2016,Alfred Deakin High School,Gov,Year 10,208
07 August 2015,Alfred Deakin High School,Gov,Year 10,195
18 February 2015,Alfred Deakin High School,Gov,Year 10,194
01 August 2014,Alfred Deakin High School,Gov,Year 10,198
19 February 2014,Alfred Deakin High School,Gov,Year 10,196
01 August 2013,Alfred Deakin High School,Gov,Year 10,195
01 February 2013,Alfred Deakin High School,Gov,Year 10,191
01 August 2012,Alfred Deakin High School,Gov,Year 10,181
01 February 2012,Alfred Deakin High School,Gov,Year 10,181
01 August 2011,Alfred Deakin High School,Gov,Year 10,198
01 February 2011,Alfred Deakin High School,Gov,Year 10,194
01 August 2010,Alfred Deakin High School,Gov,Year 10,200
01 February 2010,Alfred Deakin High School,Gov,Year 10,206
01 August 2009,Alfred Deakin High School,Gov,Year 10,202
01 February 2009,Alfred Deakin High School,Gov,Year 10,203
10 February 2023,Alfred Deakin High School,Gov,Year 7,193
05 August 2022,Alfred Deakin High School,Gov,Year 7,236
18 February 2022,Alfred Deakin High School,Gov,Year 7,239
06 August 2021,Alfred Deakin High School,Gov,Year 7,197
19 February 2021,Alfred Deakin High School,Gov,Year 7,199
07 August 2020,Alfred Deakin High School,Gov,Year 7,218
19 February 2020,Alfred Deakin High School,Gov,Year 7,210
02 August 2019,Alfred Deakin High School,Gov,Year 7,200
20 February 2019,Alfred Deakin High School,Gov,Year 7,202
03 August 2018,Alfred Deakin High School,Gov,Year 7,205
21 February 2018,Alfred Deakin High School,Gov,Year 7,209
04 August 2017,Alfred Deakin High School,Gov,Year 7,239
15 February 2017,Alfred Deakin High School,Gov,Year 7,237
05 August 2016,Alfred Deakin High School,Gov,Year 7,209
17 February 2016,Alfred Deakin High School,Gov,Year 7,202
07 August 2015,Alfred Deakin High School,Gov,Year 7,201
18 February 2015,Alfred Deakin High School,Gov,Year 7,200
01 August 2014,Alfred Deakin High School,Gov,Year 7,192
19 February 2014,Alfred Deakin High School,Gov,Year 7,198
01 August 2013,Alfred Deakin High School,Gov,Year 7,195
01 February 2013,Alfred Deakin High School,Gov,Year 7,199
01 August 2012,Alfred Deakin High School,Gov,Year 7,197
01 February 2012,Alfred Deakin High School,Gov,Year 7,198
01 August 2011,Alfred Deakin High School,Gov,Year 7,190
01 February 2011,Alfred Deakin High School,Gov,Year 7,190
01 August 2010,Alfred Deakin High School,Gov,Year 7,174
01 February 2010,Alfred Deakin High School,Gov,Year 7,178
01 August 2009,Alfred Deakin High School,Gov,Year 7,181
01 February 2009,Alfred Deakin High School,Gov,Year 7,187
10 February 2023,Alfred Deakin High School,Gov,Year 8,248
05 August 2022,Alfred Deakin High School,Gov,Year 8,188
18 February 2022,Alfred Deakin High School,Gov,Year 8,191
06 August 2021,Alfred Deakin High School,Gov,Year 8,216
19 February 2021,Alfred Deakin High School,Gov,Year 8,214
07 August 2020,Alfred Deakin High School,Gov,Year 8,213
19 February 2020,Alfred Deakin High School,Gov,Year 8,212
02 August 2019,Alfred Deakin High School,Gov,Year 8,213
20 February 2019,Alfred Deakin High School,Gov,Year 8,210
03 August 2018,Alfred Deakin High School,Gov,Year 8,235
21 February 2018,Alfred Deakin High School,Gov,Year 8,236
04 August 2017,Alfred Deakin High School,Gov,Year 8,216
15 February 2017,Alfred Deakin High School,Gov,Year 8,209
05 August 2016,Alfred Deakin High School,Gov,Year 8,213
17 February 2016,Alfred Deakin High School,Gov,Year 8,208
07 August 2015,Alfred Deakin High School,Gov,Year 8,200
18 February 2015,Alfred Deakin High School,Gov,Year 8,196
01 August 2014,Alfred Deakin High School,Gov,Year 8,190
19 February 2014,Alfred Deakin High School,Gov,Year 8,190
01 August 2013,Alfred Deakin High School,Gov,Year 8,202
01 February 2013,Alfred Deakin High School,Gov,Year 8,194
01 August 2012,Alfred Deakin High School,Gov,Year 8,192
01 February 2012,Alfred Deakin High School,Gov,Year 8,194
01 August 2011,Alfred Deakin High School,Gov,Year 8,177
01 February 2011,Alfred Deakin High School,Gov,Year 8,174
01 August 2010,Alfred Deakin High School,Gov,Year 8,183
01 February 2010,Alfred Deakin High School,Gov,Year 8,186
01 August 2009,Alfred Deakin High School,Gov,Year 8,194
01 February 2009,Alfred Deakin High School,Gov,Year 8,193
10 February 2023,Alfred Deakin High School,Gov,Year 9,196
05 August 2022,Alfred Deakin High School,Gov,year 9,215
18 February 2022,Alfred Deakin High School,Gov,year 9,221
06 August 2021,Alfred Deakin High School,Gov,Year 9,221
19 February 2021,Alfred Deakin High School,Gov,year 9,222
07 August 2020,Alfred Deakin High School,Gov,year 9,220
19 February 2020,Alfred Deakin High School,Gov,year 9,220
02 August 2019,Alfred Deakin High School,Gov,Year 9,233
20 February 2019,Alfred Deakin High School,Gov,Year 9,230
03 August 2018,Alfred Deakin High School,Gov,Year 9,210
21 February 2018,Alfred Deakin High School,Gov,Year 9,213
04 August 2017,Alfred Deakin High School,Gov,Year 9,225
15 February 2017,Alfred Deakin High School,Gov,Year 9,228
05 August 2016,Alfred Deakin High School,Gov,Year 9,206
17 February 2016,Alfred Deakin High School,Gov,Year 9,197
07 August 2015,Alfred Deakin High School,Gov,Year 9,199
18 February 2015,Alfred Deakin High School,Gov,Year 9,197
01 August 2014,Alfred Deakin High School,Gov,Year 9,201
19 February 2014,Alfred Deakin High School,Gov,Year 9,199
01 August 2013,Alfred Deakin High School,Gov,Year 9,191
01 February 2013,Alfred Deakin High School,Gov,Year 9,191
01 August 2012,Alfred Deakin High School,Gov,Year 9,186
01 February 2012,Alfred Deakin High School,Gov,Year 9,182
01 August 2011,Alfred Deakin High School,Gov,Year 9,182
01 February 2011,Alfred Deakin High School,Gov,Year 9,182
01 August 2010,Alfred Deakin High School,Gov,Year 9,193
01 February 2010,Alfred Deakin High School,Gov,Year 9,190
01 August 2009,Alfred Deakin High School,Gov,Year 9,201
01 February 2009,Alfred Deakin High School,Gov,Year 9,201
10 February 2023,Amaroo School,Gov,Kindergarten,85
05 August 2022,Amaroo School,Gov,Kindergarten,96
18 February 2022,Amaroo School,Gov,Kindergarten,95
06 August 2021,Amaroo School,Gov,Kindergarten,104
19 February 2021,Amaroo School,Gov,Kindergarten,105
07 August 2020,Amaroo School,Gov,Kindergarten,99
19 February 2020,Amaroo School,Gov,Kindergarten,100
02 August 2019,Amaroo School,Gov,Kindergarten,148
20 February 2019,Amaroo School,Gov,Kindergarten,144
03 August 2018,Amaroo School,Gov,Kindergarten,168
21 February 2018,Amaroo School,Gov,Kindergarten,168
04 August 2017,Amaroo School,Gov,Kindergarten,145
15 February 2017,Amaroo School,Gov,Kindergarten,139
05 August 2016,Amaroo School,Gov,Kindergarten,127
17 February 2016,Amaroo School,Gov,Kindergarten,128
07 August 2015,Amaroo School,Gov,Kindergarten,117
18 February 2015,Amaroo School,Gov,Kindergarten,116
01 August 2014,Amaroo School,Gov,Kindergarten,123
19 February 2014,Amaroo School,Gov,Kindergarten,118
01 August 2013,Amaroo School,Gov,Kindergarten,129
01 February 2013,Amaroo School,Gov,Kindergarten,121
01 August 2012,Amaroo School,Gov,Kindergarten,144
01 February 2012,Amaroo School,Gov,Kindergarten,137
01 August 2011,Amaroo School,Gov,Kindergarten,102
01 February 2011,Amaroo School,Gov,Kindergarten,97
01 August 2010,Amaroo School,Gov,Kindergarten,115
01 February 2010,Amaroo School,Gov,Kindergarten,115
01 August 2009,Amaroo School,Gov,Kindergarten,113
01 February 2009,Amaroo School,Gov,Kindergarten,118
10 February 2023,Amaroo School,Gov,Preschool,86
05 August 2022,Amaroo School,Gov,Preschool,107
18 February 2022,Amaroo School,Gov,Preschool,107
06 August 2021,Amaroo School,Gov,Preschool,130
19 February 2021,Amaroo School,Gov,Preschool,126
07 August 2020,Amaroo School,Gov,Preschool,130
19 February 2020,Amaroo School,Gov,Preschool,123
02 August 2019,Amaroo School,Gov,Preschool,111
20 February 2019,Amaroo School,Gov,Preschool,107
03 August 2018,Amaroo School,Gov,Preschool,169
21 February 2018,Amaroo School,Gov,Preschool,169
04 August 2017,Amaroo School,Gov,Preschool,132
15 February 2017,Amaroo School,Gov,Preschool,131
05 August 2016,Amaroo School,Gov,Preschool,132
17 February 2016,Amaroo School,Gov,Preschool,126
07 August 2015,Amaroo School,Gov,Preschool,141
18 February 2015,Amaroo School,Gov,Preschool,132
01 August 2014,Amaroo School,Gov,Preschool,161
19 February 2014,Amaroo School,Gov,Preschool,148
01 August 2013,Amaroo School,Gov,Preschool,132
01 February 2013,Amaroo School,Gov,Preschool,130
01 August 2012,Amaroo School,Gov,Preschool,175
01 February 2012,Amaroo School,Gov,Preschool,166
01 August 2011,Amaroo School,Gov,Preschool,172
01 February 2011,Amaroo School,Gov,Preschool,169
01 August 2010,Amaroo School,Gov,Preschool,121
01 February 2010,Amaroo School,Gov,Preschool,114
01 August 2009,Amaroo School,Gov,Preschool,183
01 February 2009,Amaroo School,Gov,Preschool,178
10 February 2023,Amaroo School,Gov,Year 1,94
05 August 2022,Amaroo School,Gov,Year 1,106
18 February 2022,Amaroo School,Gov,Year 1,108
06 August 2021,Amaroo School,Gov,Year 1,99
19 February 2021,Amaroo School,Gov,Year 1,98
07 August 2020,Amaroo School,Gov,Year 1,148
19 February 2020,Amaroo School,Gov,Year 1,152
02 August 2019,Amaroo School,Gov,Year 1,156
20 February 2019,Amaroo School,Gov,Year 1,157
03 August 2018,Amaroo School,Gov,Year 1,160
21 February 2018,Amaroo School,Gov,Year 1,159
04 August 2017,Amaroo School,Gov,Year 1,155
15 February 2017,Amaroo School,Gov,Year 1,152
05 August 2016,Amaroo School,Gov,Year 1,115
17 February 2016,Amaroo School,Gov,Year 1,115
07 August 2015,Amaroo School,Gov,Year 1,118
18 February 2015,Amaroo School,Gov,Year 1,118
01 August 2014,Amaroo School,Gov,Year 1,143
19 February 2014,Amaroo School,Gov,Year 1,140
01 August 2013,Amaroo School,Gov,Year 1,152
01 February 2013,Amaroo School,Gov,Year 1,152
01 August 2012,Amaroo School,Gov,Year 1,108
01 February 2012,Amaroo School,Gov,Year 1,112
01 August 2011,Amaroo School,Gov,Year 1,125
01 February 2011,Amaroo School,Gov,Year 1,120
01 August 2010,Amaroo School,Gov,Year 1,116
01 February 2010,Amaroo School,Gov,Year 1,113
01 August 2009,Amaroo School,Gov,Year 1,111
01 February 2009,Amaroo School,Gov,Year 1,111
10 February 2023,Amaroo School,Gov,Year 10,189
05 August 2022,Amaroo School,Gov,Year 10,218
18 February 2022,Amaroo School,Gov,Year 10,218
06 August 2021,Amaroo School,Gov,Year 10,181
19 February 2021,Amaroo School,Gov,Year 10,180
07 August 2020,Amaroo School,Gov,Year 10,190
19 February 2020,Amaroo School,Gov,Year 10,193
02 August 2019,Amaroo School,Gov,Year 10,194
20 February 2019,Amaroo School,Gov,Year 10,196
03 August 2018,Amaroo School,Gov,Year 10,162
21 February 2018,Amaroo School,Gov,Year 10,159
04 August 2017,Amaroo School,Gov,Year 10,150
15 February 2017,Amaroo School,Gov,Year 10,147
05 August 2016,Amaroo School,Gov,Year 10,133
17 February 2016,Amaroo School,Gov,Year 10,138
07 August 2015,Amaroo School,Gov,Year 10,144
18 February 2015,Amaroo School,Gov,Year 10,146
01 August 2014,Amaroo School,Gov,Year 10,125
19 February 2014,Amaroo School,Gov,Year 10,122
01 August 2013,Amaroo School,Gov,Year 10,142
01 February 2013,Amaroo School,Gov,Year 10,146
01 August 2012,Amaroo School,Gov,Year 10,118
01 February 2012,Amaroo School,Gov,Year 10,115
01 August 2011,Amaroo School,Gov,Year 10,114
01 February 2011,Amaroo School,Gov,Year 10,120
01 August 2010,Amaroo School,Gov,Year 10,101
01 February 2010,Amaroo School,Gov,Year 10,103
01 August 2009,Amaroo School,Gov,Year 10,87
01 February 2009,Amaroo School,Gov,Year 10,93
10 February 2023,Amaroo School,Gov,Year 2,109
05 August 2022,Amaroo School,Gov,Year 2,96
18 February 2022,Amaroo School,Gov,Year 2,96
06 August 2021,Amaroo School,Gov,Year 2,148
19 February 2021,Amaroo School,Gov,Year 2,144
07 August 2020,Amaroo School,Gov,Year 2,159
19 February 2020,Amaroo School,Gov,Year 2,156
02 August 2019,Amaroo School,Gov,Year 2,150
20 February 2019,Amaroo School,Gov,Year 2,153
03 August 2018,Amaroo School,Gov,Year 2,160
21 February 2018,Amaroo School,Gov,Year 2,165
04 August 2017,Amaroo School,Gov,Year 2,133
15 February 2017,Amaroo School,Gov,Year 2,128
05 August 2016,Amaroo School,Gov,Year 2,122
17 February 2016,Amaroo School,Gov,Year 2,118
07 August 2015,Amaroo School,Gov,Year 2,145
18 February 2015,Amaroo School,Gov,Year 2,145
01 August 2014,Amaroo School,Gov,Year 2,146
19 February 2014,Amaroo School,Gov,Year 2,148
01 August 2013,Amaroo School,Gov,Year 2,106
01 February 2013,Amaroo School,Gov,Year 2,104
01 August 2012,Amaroo School,Gov,Year 2,134
01 February 2012,Amaroo School,Gov,Year 2,136
01 August 2011,Amaroo School,Gov,Year 2,123
01 February 2011,Amaroo School,Gov,Year 2,122
01 August 2010,Amaroo School,Gov,Year 2,103
01 February 2010,Amaroo School,Gov,Year 2,101
01 August 2009,Amaroo School,Gov,Year 2,107
01 February 2009,Amaroo School,Gov,Year 2,111
10 February 2023,Amaroo School,Gov,Year 3,93
05 August 2022,Amaroo School,Gov,Year 3,153
18 February 2022,Amaroo School,Gov,Year 3,150
06 August 2021,Amaroo School,Gov,Year 3,158
19 February 2021,Amaroo School,Gov,Year 3,156
07 August 2020,Amaroo School,Gov,Year 3,159
19 February 2020,Amaroo School,Gov,Year 3,157
02 August 2019,Amaroo School,Gov,Year 3,154
20 February 2019,Amaroo School,Gov,Year 3,155
03 August 2018,Amaroo School,Gov,Year 3,151
21 February 2018,Amaroo School,Gov,Year 3,147
04 August 2017,Amaroo School,Gov,Year 3,141
15 February 2017,Amaroo School,Gov,Year 3,132
05 August 2016,Amaroo School,Gov,Year 3,147
17 February 2016,Amaroo School,Gov,Year 3,146
07 August 2015,Amaroo School,Gov,Year 3,149
18 February 2015,Amaroo School,Gov,Year 3,148
01 August 2014,Amaroo School,Gov,Year 3,115
19 February 2014,Amaroo School,Gov,Year 3,110
01 August 2013,Amaroo School,Gov,Year 3,140
01 February 2013,Amaroo School,Gov,Year 3,137
01 August 2012,Amaroo School,Gov,Year 3,134
01 February 2012,Amaroo School,Gov,Year 3,133
01 August 2011,Amaroo School,Gov,Year 3,116
01 February 2011,Amaroo School,Gov,Year 3,108
01 August 2010,Amaroo School,Gov,Year 3,112
01 February 2010,Amaroo School,Gov,Year 3,112
01 August 2009,Amaroo School,Gov,Year 3,102
01 February 2009,Amaroo School,Gov,Year 3,102
10 February 2023,Amaroo School,Gov,Year 4,144
05 August 2022,Amaroo School,Gov,Year 4,159
18 February 2022,Amaroo School,Gov,Year 4,160
06 August 2021,Amaroo School,Gov,Year 4,157
19 February 2021,Amaroo School,Gov,Year 4,154
07 August 2020,Amaroo School,Gov,Year 4,150
19 February 2020,Amaroo School,Gov,Year 4,151
02 August 2019,Amaroo School,Gov,Year 4,148
20 February 2019,Amaroo School,Gov,Year 4,153
03 August 2018,Amaroo School,Gov,Year 4,145
21 February 2018,Amaroo School,Gov,Year 4,147
04 August 2017,Amaroo School,Gov,Year 4,151
15 February 2017,Amaroo School,Gov,Year 4,150
